date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:37	51518/51518	---M--	200	added ('OK')	image/jpeg	etag:%22106e20b-c93e-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.020.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.020.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:37	58907/58907	---M--	200	added ('OK')	image/jpeg	etag:%22106e20a-e61b-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.019.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.019.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:38	50359/50359	---M--	200	added ('OK')	image/jpeg	etag:%22106e20c-c4b7-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.021.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.021.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:41	57368/57368	---M--	200	added ('OK')	image/jpeg	etag:%22106e20d-e018-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.022.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.022.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:45	48292/48292	---M--	200	added ('OK')	image/jpeg	etag:%22106e20e-bca4-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.023.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.023.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:50	79355/79355	---M--	200	added ('OK')	image/jpeg	etag:%22106e20f-135fb-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.024.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.024.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:57	100501/100501	---M--	200	added ('OK')	image/jpeg	etag:%22106e211-18895-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.026.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.026.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:57	119792/119792	---M--	200	added ('OK')	image/jpeg	etag:%22106e210-1d3f0-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.025.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.025.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:57	74952/74952	---M--	200	added ('OK')	image/jpeg	etag:%22106e212-124c8-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.028.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.028.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:57	1057/1057	---M-Z	200	added ('OK')	text/plain	etag:%221068244-421-52f6f8272f300%22	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/1threadadd.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/1threadadd.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:58	1286/1286	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:58:58%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/?C=N;O=D	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/indexc052.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:58	1689/1689	---M-Z	200	added ('OK')	text/plain	etag:%22106822e-699-52f351c0dec80%22	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/2chatsvr.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/2chatsvr.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:58	50785/50785	---M--	200	added ('OK')	image/jpeg	etag:%22106e213-c661-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.030.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.030.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:58	2217/2217	---M-Z	200	added ('OK')	text/plain	etag:%22106822f-8a9-52f351dc86dc0%22	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/3chatsvr.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/3chatsvr.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:58	1286/1286	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:58:58%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/?C=S;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/indexbfec.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
